# POI: aoi_centroid
# Location: lon=-44.120682, lat=-20.121149 (EPSG:4326)
# Radar coords: x=19923.6, y=1758.7
# Project: project  |  Orbit: D  |  PyGMTSAR 2025.4.8.post1
# Coherence threshold: 0.3 (median)
# Date-attributed coherence source: pairwise_coherence_attributed_to_date
# Columns:
#   date: acquisition date, YYYY-MM-DD
#   sbas_raw_mm: raw cumulative LOS displacement in mm
#   sbas_masked_mm: raw displacement masked by valid_time_mask
#   coherence_at_date: approximate date-attributed pairwise coherence
#   valid_time_mask: 1=valid, 0=invalid
# Reference: sbas_raw_mm and sbas_masked_mm use the PyGMTSAR SBAS reference convention.
# Note: coherence_at_date is derived from pairwise interferogram coherence. It is not a direct single-date coherence measurement.
# Segmentation: disabled; no segmented displacement or segment_id columns are exported.
# Generated: 2026-05-27 12:43:43 UTC
date,sbas_raw_mm,sbas_masked_mm,coherence_at_date,valid_time_mask
2018-06-03,-0.0000,-0.0000,0.6305,1
2018-06-15,-0.0161,-0.0161,0.6820,1
2018-06-27,0.0718,0.0718,0.6989,1
2018-07-09,-0.4334,-0.4334,0.6372,1
2018-07-21,-0.6360,-0.6360,0.6585,1
2018-08-02,-0.5560,-0.5560,0.6515,1
2018-08-14,-1.0024,-1.0024,0.6468,1
2018-08-26,-1.3773,-1.3773,0.6427,1
2018-09-07,-1.4286,-1.4286,0.5970,1
2018-09-19,-1.1166,-1.1166,0.5209,1
2018-10-01,-1.1054,-1.1054,0.5163,1
2018-10-13,-0.9737,-0.9737,0.3698,1
2018-10-25,0.2637,,0.2550,0
2018-11-06,-1.8364,,0.2962,0
2018-11-18,-3.0560,-3.0560,0.4147,1
2018-11-30,-3.6402,-3.6402,0.3558,1
2018-12-12,-6.4136,,0.2626,0
2018-12-24,-8.0211,-8.0211,0.3524,1
2019-01-05,-10.9385,,0.2981,0
2019-01-17,-11.3228,,0.2815,0
2019-01-29,-11.3031,,0.1636,0
