ps_id,lon,lat,x_radar,y_radar,iy,ix,velocity_mm_yr,rmse_mm,psf,corr_median,valid_pair_count,valid_pair_fraction,first_date,last_date,displacement_first_mm,displacement_last_mm,displacement_delta_mm,corr_mean
1,-44.06448797247352,-20.06566453938968,18579.5,1232.5,28,956,-10.115603,0.17739058,0.97260416,0.73576593,21,0.75,2018-07-09,2019-01-29,0.0,-4.246252,-4.246252,0.68528086
2,-44.063426672836954,-20.066320621069508,18529.5,1235.5,31,906,28.007025,0.14633875,1.1708639,0.9966699,28,1.0,2018-07-09,2019-01-29,0.0,12.415389,12.415389,0.9580703
3,-44.07513312943425,-20.06408994335809,18919.5,1239.5,35,1296,24.934526,0.17139839,1.0139074,0.8848684,24,0.85714287,2018-07-09,2019-01-29,0.0,15.103185,15.103185,0.7994127
4,-44.063265869861716,-20.067239135421268,18513.5,1241.5,37,890,15.803979,0.1427185,1.2919152,1.0,28,1.0,2018-07-09,2019-01-29,0.0,10.079976,10.079976,0.9898396
5,-44.063298030456764,-20.067239135421268,18514.5,1241.5,37,891,15.936251,0.14015336,1.0206681,1.0,28,1.0,2018-07-09,2019-01-29,0.0,9.965724,9.965724,0.9863939
6,-44.063683957597334,-20.067107919085302,18523.5,1241.5,37,900,12.833448,0.11135652,1.0510448,1.0,27,0.96428573,2018-07-09,2019-01-29,0.0,5.571942,5.571942,0.91309595
7,-44.07497232645901,-20.064352376030023,18916.5,1241.5,37,1293,10.242825,0.18431628,1.15699,0.749017,21,0.75,2018-07-09,2019-01-29,0.0,2.504071,2.504071,0.70938045
8,-44.063683957597334,-20.0675015680932,18520.5,1244.5,40,897,20.969227,0.099138424,0.9850022,0.8654698,24,0.85714287,2018-07-09,2019-01-29,0.0,10.427169,10.427169,0.8125183
9,-44.07619442907082,-20.06448359236599,18945.5,1244.5,40,1322,-3.4345894,0.122823134,1.0102843,0.89483553,25,0.89285713,2018-07-09,2019-01-29,0.0,-6.0872293,-6.0872293,0.86952865
10,-44.06379651968,-20.067632784429165,18522.5,1245.5,41,899,24.668638,0.10751179,1.0403374,1.0,28,1.0,2018-07-09,2019-01-29,0.0,11.840756,11.840756,0.97451115
11,-44.07614618817824,-20.064614808701954,18945.5,1245.5,41,1322,15.895674,0.17500557,1.0475426,0.9212812,25,0.89285713,2018-07-09,2019-01-29,0.0,10.819248,10.819248,0.8674203
12,-44.07619442907082,-20.064614808701954,18946.5,1245.5,41,1323,16.604164,0.16115552,0.978919,0.8917174,25,0.89285713,2018-07-09,2019-01-29,0.0,9.876973,9.876973,0.84452885
13,-44.06408596503543,-20.067632784429165,18528.5,1246.5,42,905,9.955474,0.120835766,1.0259513,0.9979421,26,0.9285714,2018-07-09,2019-01-29,0.0,4.7601485,4.7601485,0.9314373
14,-44.07606578669063,-20.064877241373885,18945.5,1247.5,43,1322,18.469301,0.14925757,0.97614783,0.99042696,26,0.9285714,2018-07-09,2019-01-29,0.0,3.3208594,3.3208594,0.9265226
15,-44.064198527118094,-20.067895217101096,18529.5,1248.5,44,906,17.124678,0.11963326,1.0559541,0.83224386,21,0.75,2018-07-09,2019-01-29,0.0,11.427184,11.427184,0.7687469
16,,,18534.5,1248.5,44,911,-16.588474,0.14881884,1.0391952,0.84471756,22,0.78571427,2018-07-09,2019-01-29,0.0,-1.2505898,-1.2505898,0.77405673
17,-44.06545279032495,-20.067632784429165,18569.5,1248.5,44,946,19.167389,0.110938184,0.98159707,0.88167596,28,1.0,2018-07-09,2019-01-29,0.0,12.035167,12.035167,0.87478733
18,,,18570.5,1248.5,44,947,19.573719,0.11726667,1.0269558,0.89053035,28,1.0,2018-07-09,2019-01-29,0.0,11.793632,11.793632,0.8948337
19,-44.07768989674052,-20.064614808701954,18993.5,1248.5,44,1370,32.262146,0.14008987,0.99587077,0.83101636,21,0.75,2018-07-09,2019-01-29,0.0,16.132765,16.132765,0.76064396
20,-44.07810798447615,-20.06448359236599,19002.5,1248.5,44,1379,6.3082805,0.13589525,1.0672837,0.94247437,26,0.9285714,2018-07-09,2019-01-29,0.0,7.120604,7.120604,0.867466
21,-44.06421460741562,-20.068026433437062,18529.5,1249.5,45,906,8.157451,0.11042676,1.4298906,0.8463444,22,0.78571427,2018-07-09,2019-01-29,0.0,6.977177,6.977177,0.7506308
22,-44.078027582988526,-20.064614808701954,19001.5,1249.5,45,1378,34.33645,0.16522142,1.2909732,1.0,26,0.9285714,2018-07-09,2019-01-29,0.0,21.359228,21.359228,0.8897619
23,-44.06543671002743,-20.067895217101096,18565.5,1250.5,46,942,24.002337,0.10595551,0.9983683,0.83256906,22,0.78571427,2018-07-09,2019-01-29,0.0,15.272247,15.272247,0.78216743
24,-44.079957218691376,-20.064352376030023,19067.5,1250.5,46,1444,12.304071,0.14318159,1.2098753,0.7022737,22,0.78571427,2018-07-09,2019-01-29,0.0,8.590881,8.590881,0.6990275
25,-44.064471892176,-20.068157649773028,18533.5,1251.5,47,910,22.108696,0.06470544,0.9818072,0.9308342,21,0.75,2018-07-09,2019-01-29,0.0,12.926393,12.926393,0.8105933
26,-44.07989289750128,-20.06448359236599,19062.5,1251.5,47,1439,-1.6269103,0.16260605,0.9917421,0.769631,21,0.75,2018-07-09,2019-01-29,0.0,7.759563,7.759563,0.709833
27,-44.08047178821214,-20.064352376030023,19085.5,1251.5,47,1462,-10.61413,0.09521199,0.98328686,0.6463266,23,0.8214286,2018-07-09,2019-01-29,0.0,-5.8404956,-5.8404956,0.6676091
28,-44.07820446626128,-20.065139674045817,19009.5,1253.5,49,1386,13.533372,0.16731174,0.98101693,0.8147272,25,0.89285713,2018-07-09,2019-01-29,0.0,11.204581,11.204581,0.7700472
29,-44.06410204533295,-20.06868251511689,18522.5,1254.5,50,899,-4.471662,0.14816129,1.1120745,0.99064326,24,0.85714287,2018-07-09,2019-01-29,0.0,-6.9724636,-6.9724636,0.8755457
30,-44.06431108920076,-20.06868251511689,18527.5,1254.5,50,904,10.575594,0.097305864,1.0738498,0.90777636,25,0.89285713,2018-07-09,2019-01-29,0.0,6.857105,6.857105,0.82561976
31,,,18529.5,1254.5,50,906,9.260656,0.13236234,1.0834872,0.8674446,24,0.85714287,2018-07-09,2019-01-29,0.0,5.664434,5.664434,0.81521034
32,-44.0647452572339,-20.068551298780925,18536.5,1254.5,50,913,14.571304,0.11897441,1.0159134,1.0,28,1.0,2018-07-09,2019-01-29,0.0,11.421998,11.421998,0.95723385
33,-44.06488997991161,-20.068551298780925,18539.5,1254.5,50,916,15.082699,0.18780069,1.0711815,0.94379514,25,0.89285713,2018-07-09,2019-01-29,0.0,11.403774,11.403774,0.88983643
34,-44.064970381399235,-20.06842008244496,18542.5,1254.5,50,919,14.19099,0.14646341,1.0020144,0.76407504,23,0.8214286,2018-07-09,2019-01-29,0.0,11.501271,11.501271,0.7448055
35,-44.07037336136722,-20.067107919085302,18753.5,1254.5,50,1130,18.491657,0.17686275,1.0844675,0.7952956,23,0.8214286,2018-07-09,2019-01-29,0.0,10.731489,10.731489,0.75051415
36,-44.06479349812648,-20.06868251511689,18536.5,1255.5,51,913,13.252619,0.13323314,1.1099479,1.0,28,1.0,2018-07-09,2019-01-29,0.0,11.326068,11.326068,0.96368945
37,-44.064841739019045,-20.06868251511689,18537.5,1255.5,51,914,13.817777,0.12668091,1.01979,1.0,28,1.0,2018-07-09,2019-01-29,0.0,12.506672,12.506672,0.9677421
38,-44.06488997991161,-20.06868251511689,18538.5,1255.5,51,915,14.952387,0.14635359,0.99199504,1.0,28,1.0,2018-07-09,2019-01-29,0.0,13.818185,13.818185,0.9747881
39,-44.07058240523503,-20.067239135421268,18756.5,1255.5,51,1133,31.721325,0.23665553,1.0786965,0.85480773,27,0.96428573,2018-07-09,2019-01-29,0.0,13.605757,13.605757,0.81959945
40,-44.06503470258933,-20.06868251511689,18541.5,1256.5,52,918,-12.497865,0.1751815,1.1140944,0.7379764,21,0.75,2018-07-09,2019-01-29,0.0,-0.8577549,-0.8577549,0.7308602
41,-44.08211197855956,-20.065139674045817,19130.5,1260.5,56,1507,4.765847,0.14009587,1.0247902,0.9095799,23,0.8214286,2018-07-09,2019-01-29,0.0,5.4591875,5.4591875,0.8073451
42,-44.06696433829218,-20.069076164124787,18592.5,1262.5,58,969,6.0821376,0.22223906,1.088116,0.7967025,24,0.85714287,2018-07-09,2019-01-29,0.0,5.9956913,5.9956913,0.7421521
43,-44.086582301271164,-20.064614808701954,19275.5,1264.5,60,1652,25.510862,0.10866448,0.9782628,0.77224123,21,0.75,2018-07-09,2019-01-29,0.0,16.274141,16.274141,0.71512777
44,-44.06979447065636,-20.069207380460753,18691.5,1268.5,64,1068,40.28494,0.15989257,1.0453603,0.9252721,23,0.8214286,2018-07-09,2019-01-29,0.0,12.318034,12.318034,0.8150036
45,-44.06632112639123,-20.070125894812513,18564.5,1269.5,65,941,18.154922,0.10432222,1.1137061,0.7172245,22,0.78571427,2018-07-09,2019-01-29,0.0,16.62352,16.62352,0.70626485
