ps_id,d_20180709,d_20180721,d_20180802,d_20180814,d_20180826,d_20180907,d_20180919,d_20181001,d_20181013,d_20181025,d_20181106,d_20181118,d_20181130,d_20181212,d_20181224,d_20190105,d_20190117,d_20190129
1,0.0,3.4947724,0.09642997,1.211515,-7.749549,-3.7375796,-1.0220554,-5.3203697,-11.072324,0.11377857,1.1866478,-2.9166145,-2.9166145,-2.9166145,-13.409468,-5.3770576,-2.3947415,-4.246252
2,0.0,-1.0010238,-0.24286684,1.3222395,-3.3436308,-0.44516417,3.3016455,-2.753006,-3.29909,4.2886305,1.1401151,7.2488894,11.989379,10.787925,12.656855,10.926798,9.495435,12.415389
3,0.0,1.0507522,-0.660044,1.6887227,-3.3271687,0.4106596,2.13726,1.8912429,1.4714231,-1.6660938,2.0620887,10.691543,12.166045,10.891782,8.602387,11.701029,4.377798,15.103185
4,0.0,-0.17935814,1.5414718,2.825819,-1.5645437,0.27758723,2.4316404,2.3082976,-0.009979901,-6.066411,1.2137865,6.848316,6.7037086,5.2427807,7.3807592,6.5159216,6.354454,10.079976
5,0.0,-0.04089135,1.4827075,2.7766433,-1.6183289,0.16247809,2.4375956,2.2682283,-0.13013168,-5.287344,1.0472635,6.8857317,6.9571695,5.219678,7.520218,6.6302466,6.379245,9.965724
6,0.0,0.28759646,-0.3556881,1.026387,-2.9671044,-1.7740383,-0.21052516,-0.5985379,-0.6993136,-6.260082,-0.9228085,4.0037193,5.53367,2.813321,5.4455996,5.3229504,5.2002687,5.571942
7,0.0,-0.9381421,0.30388802,1.758687,-4.0254006,0.63946676,-4.0276303,-3.3700447,-1.7901098,2.2837894,3.7033048,2.7636464,1.1026455,1.6712557,5.125059,6.5417953,2.504071,2.504071
8,0.0,-1.0695816,-0.014972231,0.4085826,-2.157445,0.6425305,6.644011,0.53726315,0.53726315,3.863367,4.607262,11.448708,9.571084,6.3117948,9.208747,7.4590836,6.8011894,10.427169
9,0.0,-0.19774096,-1.2788262,-0.72995514,-4.2546825,-4.3475885,-3.5436032,0.0133010885,-0.9213249,-0.9213249,-0.9213249,-0.9213249,-0.00060490635,-1.3277779,-4.6622305,3.233409,-6.0872293,-6.0872293
10,0.0,0.55177,3.8390448,2.2416008,-0.6415202,0.8794484,6.1306515,2.447505,1.2968767,1.7494684,6.4785247,13.37038,11.951553,10.338708,13.377507,11.617521,9.576099,11.840756
