point_id,date,longitude,latitude,displacement_mm,velocity_mm_yr,dem_error_m,gamma,rmse_rad,amplitude_dispersion_index,mean_amplitude,valid_pair_count
25,2018-01-10,-44.177981326163845,-20.065402106717748,-0.0,-62.0,36.0,0.9934322,0.114803776,0.12596866,0.00017885656,32
36,2018-01-10,-44.161892364687866,-20.07708036061869,-0.0,-62.0,40.0,0.9895274,0.14510763,0.16019304,0.00016061729,32
49,2018-01-10,-44.158288437317246,-20.066320621069508,-0.0,-60.0,36.0,0.9677011,0.25603223,0.16889001,0.00021117146,32
51,2018-01-10,-44.1575161671664,-20.08482212444067,-0.0,-60.0,40.0,0.99133533,0.13187632,0.15246536,0.00031897012,32
55,2018-01-10,-44.15597162686471,-20.07904860565818,-0.0,-58.0,40.0,0.99169916,0.12906517,0.17269787,0.00030624378,32
58,2018-01-10,-44.1591894191599,-20.06592697206161,-0.0,-64.0,40.0,0.9866735,0.1637098,0.16357863,0.00016910466,32
60,2018-01-10,-44.158417149009054,-20.066714270077405,-0.0,-60.0,32.0,0.9606683,0.28429142,0.16295098,0.00027915908,32
70,2018-01-10,-44.15558549178928,-20.073143870539724,-0.0,-58.0,40.0,0.98207843,0.1903084,0.16551217,0.00015617402,32
72,2018-01-10,-44.161892364687866,-20.076817927946763,-0.0,-60.0,40.0,0.98664135,0.16406055,0.17289028,0.00018321899,32
77,2018-01-10,-44.15558549178928,-20.073143870539724,-0.0,-60.0,40.0,0.9936751,0.11267752,0.17115304,0.0002308823,32
78,2018-01-10,-44.16176365299606,-20.07708036061869,-0.0,-62.0,40.0,0.98854494,0.15176974,0.17172363,0.0001721688,32
79,2018-01-10,-44.177981326163845,-20.065533323053717,-0.0,-62.0,36.0,0.9964764,0.08401511,0.16623512,0.00018862613,32
86,2018-01-10,-44.157130032090976,-20.07235657252393,-0.0,-60.0,36.0,0.99061596,0.13728343,0.15821503,0.00026863083,32
87,2018-01-10,-44.15365481641216,-20.08364117741698,-0.0,-62.0,40.0,0.9950991,0.0991742,0.17583664,0.00029401673,32
92,2018-01-10,-44.15365481641216,-20.08364117741698,-0.0,-62.0,40.0,0.99385124,0.11107637,0.1650057,0.00031562397,32
101,2018-01-10,-44.157130032090976,-20.07235657252393,-0.0,-60.0,36.0,0.98830754,0.15364271,0.16259168,0.0002030594,32
102,2018-01-10,-44.1575161671664,-20.08482212444067,-0.0,-60.0,36.0,0.9933006,0.11592739,0.16052273,0.0002825142,32
106,2018-01-10,-44.158288437317246,-20.066320621069508,-0.0,-60.0,40.0,0.96672195,0.260466,0.17711703,0.00022746764,32
107,2018-01-10,-44.150050889041545,-20.0858718551284,-0.0,-62.0,32.0,0.9972439,0.07430704,0.17113066,0.00025208955,32
108,2018-01-10,-44.095348420023214,-20.095581863989857,-0.0,-26.0,-4.0,0.9112881,0.43588206,0.17609175,0.00035253962,32
109,2018-01-10,-44.15815972562544,-20.068026433437065,-0.0,-60.0,40.0,0.92887574,0.38277623,0.18616179,0.00031713524,32
111,2018-01-10,-44.15558549178928,-20.073143870539724,-0.0,-58.0,40.0,0.9956475,0.093374655,0.16038811,0.00014709214,32
116,2018-01-10,-44.15597162686471,-20.07904860565818,-0.0,-60.0,40.0,0.98307085,0.18469657,0.19299243,0.00018906631,32
120,2018-01-10,-44.15442708656301,-20.0717004908441,-0.0,-60.0,40.0,0.98103976,0.19561706,0.18038051,0.0002138021,32
122,2018-01-10,-44.177981326163845,-20.065402106717748,-0.0,-62.0,36.0,0.9920553,0.12631515,0.16516092,0.00013893403,32
124,2018-01-10,-44.16768439081922,-20.071831707180067,-0.0,-58.0,40.0,0.9844347,0.17712511,0.16961817,0.00019569618,32
125,2018-01-10,-44.09316032126248,-20.103192411475867,-0.0,-30.0,-28.0,0.9221537,0.4055343,0.18537693,0.00026284982,32
135,2018-01-10,-44.1575161671664,-20.08482212444067,-0.0,-60.0,40.0,0.9926844,0.12122337,0.17335667,0.00032299763,32
166,2018-01-10,-44.16227849976329,-20.07301265420376,-0.0,-60.0,40.0,0.9948693,0.10141454,0.17611928,0.0002781563,32
169,2018-01-10,-44.15906070746809,-20.06592697206161,-0.0,-62.0,36.0,0.96458185,0.26856968,0.1896261,7.7959645e-05,32
