point_id,longitude,latitude,velocity_mm_yr,dem_error_m,gamma,rmse_rad,amplitude_dispersion_index,mean_amplitude,valid_pair_count,2018-01-10,2018-01-22,2018-02-03,2018-02-15,2018-02-27,2018-03-11,2018-03-23,2018-04-04,2018-04-16,2018-04-28,2018-05-10,2018-05-22,2018-06-03,2018-06-15,2018-06-27,2018-07-09,2018-07-21,2018-08-02,2018-08-14,2018-08-26,2018-09-07,2018-09-19,2018-10-01,2018-10-13,2018-10-25,2018-11-06,2018-11-18,2018-11-30,2018-12-12,2018-12-24,2019-01-05,2019-01-17,2019-01-29
25,-44.177981326163845,-20.065402106717748,-62.0,36.0,0.9934322,0.114803776,0.12596866,0.00017885656,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,9.736136,7.020939,5.6037793,6.9479294,8.29208,9.63623,10.980381,12.324532,13.668681,15.012832,15.278595,13.814085,10.023802,11.346453,8.2441025,4.8059535
36,-44.161892364687866,-20.07708036061869,-62.0,40.0,0.9895274,0.14510763,0.16019304,0.00016061729,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.800979e-16,8.327201,6.970989,5.4625125,1.7197192,3.841386,5.963053,8.08472,10.206387,12.328053,14.44972,13.816593,12.486596,8.087709,9.644319,7.5313864,3.304564
49,-44.158288437317246,-20.066320621069508,-60.0,36.0,0.9677011,0.25603223,0.16889001,0.00021117146,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9601958e-15,9.310722,5.964027,5.8649874,7.1436687,8.42235,9.701031,10.9797125,12.258393,13.537074,14.815756,15.337991,13.861453,8.734296,13.447753,10.3924,5.681796
51,-44.1575161671664,-20.08482212444067,-60.0,40.0,0.99133533,0.13187632,0.15246536,0.00031897012,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,8.994855,7.586993,5.9606113,2.4140174,4.3449664,6.275915,8.206864,10.137813,12.068762,13.99971,13.832788,15.2806015,10.201267,11.835377,8.755389,4.2103333
55,-44.15597162686471,-20.07904860565818,-58.0,40.0,0.99169916,0.12906517,0.17269787,0.00030624378,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,11.051934,9.088892,7.3005295,8.4306135,9.5606985,10.690783,11.820867,12.950952,14.081036,15.21112,15.417078,16.286026,12.773713,13.784679,11.354375,6.4567447
58,-44.1591894191599,-20.06592697206161,-64.0,40.0,0.9866735,0.1637098,0.16357863,0.00016910466,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.802799,8.3921,5.549932,6.6919584,7.833985,8.976011,10.118038,11.260064,12.402091,13.544117,12.39779,11.758411,6.5172386,8.271839,6.121999,6.121999
60,-44.158417149009054,-20.066714270077405,-60.0,32.0,0.9606683,0.28429142,0.16295098,0.00027915908,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.716648,7.369285,4.5523143,5.866349,7.180384,8.494419,9.8084545,11.122489,12.436524,13.750559,14.388945,16.10416,9.614145,11.420525,11.172694,5.3154826
70,-44.15558549178928,-20.073143870539724,-58.0,40.0,0.98207843,0.1903084,0.16551217,0.00015617402,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9601958e-15,8.428445,6.9906855,4.740716,6.0595846,7.3784533,8.697322,10.016191,11.335059,12.653928,13.972796,13.042327,14.579254,11.256592,10.831925,9.604167,3.4649527
72,-44.161892364687866,-20.076817927946763,-60.0,40.0,0.98664135,0.16406055,0.17289028,0.00018321899,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.800979e-16,7.688155,6.2921586,3.5997658,4.9212227,6.2426796,7.5641365,8.885593,10.20705,11.528507,12.849964,12.861403,12.729123,8.166475,11.926751,8.047714,4.1933513
77,-44.15558549178928,-20.073143870539724,-60.0,40.0,0.9936751,0.11267752,0.17115304,0.0002308823,32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.027494,6.5208797,3.5210097,0.5640156,2.6745872,4.7851586,6.89573,9.006302,11.116874,13.227445,13.247166,12.847885,8.483804,10.453031,7.8792615,4.0274816
