point_id,radar_y,radar_x,velocity_mm_yr,dem_error_m,constant_phase_rad,gamma,rmse_rad,gamma_initial,rmse_initial_rad,amplitude_dispersion_index,mean_amplitude,valid_pair_count,latitude,longitude
25,1433.5,22119.5,-62.0,36.0,-1.1893185,0.9934322,0.114803776,0.556536,1.1162674,0.12596866,0.00017885656,32,-20.065402106717748,-44.177981326163845
36,1492.5,21495.5,-62.0,40.0,-0.7392201,0.9895274,0.14510763,0.53165346,1.1171554,0.16019304,0.00016061729,32,-20.077080360618694,-44.161892364687866
49,1405.5,21491.5,-60.0,36.0,-0.9553343,0.9677011,0.25603223,0.47704878,1.223332,0.16889001,0.00021117146,32,-20.066320621069508,-44.158288437317246
51,1544.5,21280.5,-60.0,40.0,-0.86110264,0.99133533,0.13187632,0.49665752,1.1661218,0.15246536,0.00031897012,32,-20.08482212444067,-44.1575161671664
55,1496.5,21295.5,-58.0,40.0,-1.1940973,0.99169916,0.12906517,0.49987507,1.15746,0.17269787,0.00030624378,32,-20.07904860565818,-44.155971626864705
58,1402.5,21522.5,-64.0,40.0,-0.854067,0.9866735,0.1637098,0.5065237,1.177186,0.16357863,0.00016910466,32,-20.06592697206161,-44.1591894191599
60,1406.5,21490.5,-60.0,32.0,-0.75510967,0.9606683,0.28429142,0.4718489,1.190794,0.16295098,0.00027915908,32,-20.066714270077405,-44.158417149009054
70,1452.5,21341.5,-58.0,40.0,-0.6614617,0.98207843,0.1903084,0.5288061,1.1280574,0.16551217,0.00015617402,32,-20.073143870539724,-44.15558549178928
72,1492.5,21499.5,-60.0,40.0,-0.5920441,0.98664135,0.16406055,0.5172327,1.1657145,0.17289028,0.00018321899,32,-20.076817927946763,-44.161892364687866
77,1451.5,21342.5,-60.0,40.0,-0.64307415,0.9936751,0.11267752,0.50692964,1.1544377,0.17115304,0.0002308823,32,-20.073143870539724,-44.15558549178928
78,1492.5,21490.5,-62.0,40.0,-0.8847223,0.98854494,0.15176974,0.5118441,1.1503305,0.17172363,0.0001721688,32,-20.077080360618694,-44.16176365299606
79,1434.5,22119.5,-62.0,36.0,-1.1705222,0.9964764,0.08401511,0.5251304,1.1887012,0.16623512,0.00018862613,32,-20.065533323053714,-44.177981326163845
86,1448.5,21398.5,-60.0,36.0,-1.3403367,0.99061596,0.13728343,0.5287036,1.1403354,0.15821503,0.00026863083,32,-20.07235657252393,-44.157130032090976
87,1528.5,21180.5,-62.0,40.0,-1.0782862,0.9950991,0.0991742,0.5010594,1.1852432,0.17583664,0.00029401673,32,-20.08364117741698,-44.153654816412164
92,1528.5,21179.5,-62.0,40.0,-0.90332365,0.99385124,0.11107637,0.49031687,1.1872602,0.1650057,0.00031562397,32,-20.08364117741698,-44.153654816412164
101,1449.5,21398.5,-60.0,36.0,-1.3450022,0.98830754,0.15364271,0.5088434,1.1563727,0.16259168,0.0002030594,32,-20.07235657252393,-44.157130032090976
102,1544.5,21279.5,-60.0,36.0,-0.8457722,0.9933006,0.11592739,0.49333197,1.1662636,0.16052273,0.0002825142,32,-20.08482212444067,-44.1575161671664
106,1405.5,21490.5,-60.0,40.0,-0.881573,0.96672195,0.260466,0.47575873,1.2085038,0.17711703,0.00022746764,32,-20.066320621069508,-44.158288437317246
107,1538.5,21046.5,-62.0,32.0,-1.140672,0.9972439,0.07430704,0.5015593,1.2020931,0.17113066,0.00025208955,32,-20.085871855128396,-44.150050889041545
108,1512.5,19168.5,-26.0,-4.0,1.2266295,0.9112881,0.43588206,0.4476484,1.1878523,0.17609175,0.00035253962,32,-20.095581863989857,-44.095348420023214
109,1416.5,21469.5,-60.0,40.0,-0.66835266,0.92887574,0.38277623,0.46513954,1.2518245,0.18616179,0.00031713524,32,-20.068026433437062,-44.15815972562544
111,1451.5,21341.5,-58.0,40.0,-0.57258654,0.9956475,0.093374655,0.5022633,1.1689243,0.16038811,0.00014709214,32,-20.073143870539724,-44.15558549178928
116,1496.5,21296.5,-60.0,40.0,-1.1135488,0.98307085,0.18469657,0.49546644,1.1674052,0.19299243,0.00018906631,32,-20.07904860565818,-44.155971626864705
120,1438.5,21321.5,-60.0,40.0,-0.6485382,0.98103976,0.19561706,0.49714553,1.2008913,0.18038051,0.0002138021,32,-20.0717004908441,-44.15442708656301
122,1433.5,22120.5,-62.0,36.0,-1.1426471,0.9920553,0.12631515,0.5294342,1.1983408,0.16516092,0.00013893403,32,-20.065402106717748,-44.177981326163845
124,1464.5,21754.5,-58.0,40.0,-0.64786446,0.9844347,0.17712511,0.49304536,1.2353821,0.16961817,0.00019569618,32,-20.071831707180067,-44.16768439081922
125,1565.5,19123.5,-30.0,-28.0,-2.9458895,0.9221537,0.4055343,0.46127424,1.2247374,0.18537693,0.00026284982,32,-20.103192411475867,-44.09316032126248
135,1545.5,21280.5,-60.0,40.0,-0.786487,0.9926844,0.12122337,0.49760127,1.1549345,0.17335667,0.00032299763,32,-20.08482212444067,-44.1575161671664
166,1462.5,21556.5,-60.0,40.0,-0.9016169,0.9948693,0.10141454,0.5074645,1.2209468,0.17611928,0.0002781563,32,-20.073012654203758,-44.16227849976329
169,1402.5,21520.5,-62.0,36.0,-0.62456316,0.96458185,0.26856968,0.49818575,1.1829157,0.1896261,7.7959645e-05,32,-20.06592697206161,-44.15906070746809
183,1494.5,21494.5,-60.0,40.0,-1.0646707,0.98572654,0.16954353,0.52156216,1.1177391,0.20472775,0.00016644613,32,-20.07721157695466,-44.161892364687866
184,1519.5,21047.5,-62.0,24.0,-1.4411771,0.92275953,0.39962417,0.4304929,1.2541069,0.18632154,0.00019650752,32,-20.083509961081013,-44.14914990719889
192,1451.5,21344.5,-58.0,36.0,-0.805019,0.96856844,0.2538515,0.4804122,1.2218826,0.20102504,0.00022607588,32,-20.073143870539724,-44.15558549178928
208,1519.5,19181.5,-16.0,-28.0,1.0877246,0.8838611,0.4968438,0.44510302,1.2725781,0.19951294,0.00028506762,32,-20.096631594677582,-44.09547713171502
209,1578.5,19179.5,-30.0,-32.0,-2.974464,0.99192834,0.12720996,0.52759224,1.1038474,0.20155519,0.00028709535,32,-20.104242142163592,-44.09573455509864
211,1527.5,21007.5,-62.0,36.0,-1.0689526,0.97233886,0.23678724,0.48143598,1.1879271,0.1985304,0.00017741922,32,-20.08482212444067,-44.148248925356235
227,1524.5,21119.5,-62.0,40.0,-1.0154637,0.9442581,0.34013498,0.4769284,1.2144927,0.17343715,0.00015305412,32,-20.083772393752945,-44.15172414103505
230,1495.5,21295.5,-58.0,40.0,-1.0946919,0.99377,0.11183355,0.51774967,1.1371045,0.20406978,0.00019458176,32,-20.078654956650283,-44.1558429151729
234,1509.5,19157.5,-30.0,-20.0,1.001435,0.933926,0.3708147,0.46253374,1.1834711,0.21000704,0.00035274707,32,-20.095319431317925,-44.09496228494779
235,1479.5,21715.5,-60.0,40.0,-0.82303333,0.94888365,0.32600248,0.4817549,1.2368636,0.19429739,0.00019437468,32,-20.073931168555518,-44.167298255743795
250,1442.5,21362.5,-58.0,36.0,-0.7615311,0.9687802,0.25208294,0.5310266,1.1274483,0.20764968,0.00012654542,32,-20.071831707180067,-44.1558429151729
262,1452.5,21342.5,-60.0,40.0,-0.71625984,0.9888833,0.14947388,0.52322173,1.1239879,0.214402,0.00019721958,32,-20.073143870539724,-44.15558549178928
279,1529.5,21180.5,-62.0,40.0,-1.1970136,0.9593733,0.28800502,0.4985763,1.1501025,0.1987492,0.00014123438,32,-20.08390361008891,-44.15378352810397
292,1488.5,19116.5,-62.0,-40.0,1.5885825,0.94386774,0.3385104,0.46121392,1.2033653,0.2108965,0.00015072811,32,-20.09308875360651,-44.09277418618706
294,1538.5,21047.5,-62.0,40.0,-0.7957879,0.99573416,0.09243322,0.5064224,1.192133,0.20145847,0.00022659368,32,-20.085871855128396,-44.150050889041545
297,1453.5,21194.5,-62.0,40.0,-1.3247905,0.91531914,0.42315394,0.4297622,1.2737541,0.18903947,0.000473964,32,-20.07445603389938,-44.1509518708842
298,1576.5,19179.5,-32.0,-32.0,-2.9793055,0.9713802,0.24072301,0.4746189,1.1825845,0.20770803,0.00019924583,32,-20.104110925827626,-44.09573455509864
302,1453.5,21193.5,-64.0,40.0,-1.4182757,0.9010573,0.46399283,0.43080992,1.2822614,0.19030711,0.00030566705,32,-20.07445603389938,-44.1509518708842
307,1452.5,21344.5,-60.0,36.0,-0.78297096,0.94426954,0.33953795,0.45585144,1.2720046,0.21462357,0.0001921205,32,-20.073143870539724,-44.15558549178928
322,1404.5,21599.5,-58.0,32.0,-1.0972258,0.9559043,0.30019727,0.45464945,1.2529057,0.20587029,0.00021429466,32,-20.065533323053714,-44.16150622961244
326,1406.5,21491.5,-60.0,28.0,-0.92808646,0.92922074,0.38275728,0.4532038,1.2498122,0.21405818,0.00021434038,32,-20.066714270077405,-44.158417149009054
334,1527.5,21008.5,-64.0,36.0,-1.4254965,0.9591197,0.28854805,0.48393053,1.2369645,0.20624818,0.00011566065,32,-20.08482212444067,-44.148248925356235
341,1496.5,19124.5,-30.0,0.0,1.798323,0.9271192,0.38806647,0.4505817,1.2389922,0.20293237,0.00020528595,32,-20.094138484294234,-44.093417744646096
342,1577.5,19180.5,-28.0,-32.0,-2.2519917,0.967172,0.2586741,0.47880304,1.1866803,0.21095438,0.00017666417,32,-20.104110925827626,-44.09573455509864
343,1503.5,19150.5,-30.0,-12.0,1.3522811,0.9320163,0.37439924,0.43349117,1.2139511,0.20520887,0.00024680147,32,-20.094663349638097,-44.094704861564175
350,1436.5,21338.5,-60.0,32.0,-1.3199723,0.9771433,0.21485306,0.49624068,1.173543,0.2082436,0.000101412086,32,-20.07143805817217,-44.15494193333024
351,1527.5,21179.5,-62.0,40.0,-0.8978289,0.99176425,0.12863493,0.5016725,1.1839914,0.1975397,0.00024892512,32,-20.083509961081013,-44.153654816412164
354,1559.5,19176.5,-34.0,-40.0,2.996298,0.85031635,0.56276417,0.4404838,1.2829498,0.19688289,0.0001462547,32,-20.10188024811621,-44.095219708331406
355,1483.5,21021.5,-62.0,40.0,-1.4813702,0.9097379,0.4362786,0.4555986,1.219738,0.20008743,0.0001692326,32,-20.079442254666077,-44.14721923182177
358,1491.5,21499.5,-60.0,40.0,-0.5703274,0.97885114,0.2066355,0.51148266,1.1907952,0.2046915,0.00012147129,32,-20.076817927946763,-44.161892364687866
