ps_id,lon,lat,x_radar,y_radar,iy,ix,velocity_mm_yr,rmse_mm,psf,corr_median,valid_pair_count,first_date,last_date,displacement_first_mm,displacement_last_mm,displacement_delta_mm,corr_mean
1,-44.062912103316194,-20.06448359236599,18537.5,1220.5,16,914,23.68358,0.11502016,0.93313414,0.59277296,21,2018-07-09,2019-01-29,0.0,6.5412645,6.5412645,0.561981
2,-44.06320154867162,-20.064614808701954,18545.5,1221.5,17,922,22.329502,0.18987311,0.9657322,0.43197182,18,2018-07-09,2019-01-29,0.0,12.5567875,12.5567875,0.47918153
3,-44.064134205928,-20.06448359236599,18588.5,1222.5,18,965,41.977123,0.13648978,0.93308663,0.44185793,19,2018-07-09,2019-01-29,0.0,18.236732,18.236732,0.45346627
4,,,18600.5,1222.5,18,977,-18.851755,0.150118,1.1482947,0.48217964,16,2018-07-09,2019-01-29,0.0,-3.502552,-3.502552,0.45760944
5,-44.06513118437447,-20.064221159694057,18625.5,1222.5,18,1002,-10.530355,0.121201046,0.91666424,0.6160598,24,2018-07-09,2019-01-29,0.0,3.9367993,3.9367993,0.6229032
6,-44.064841739019045,-20.06448359236599,18612.5,1223.5,19,989,47.234455,0.15729897,0.99825007,0.5101158,21,2018-07-09,2019-01-29,0.0,17.542934,17.542934,0.48843884
7,-44.066514089961515,-20.064221159694057,18671.5,1224.5,20,1048,-27.929176,0.110338666,0.9000064,0.4609378,19,2018-07-09,2019-01-29,0.0,-15.100827,-15.100827,0.48603374
8,,,18534.5,1225.5,21,911,42.14725,0.05847034,1.0296506,0.6450654,22,2018-07-09,2019-01-29,0.0,17.112497,17.112497,0.5687322
9,-44.06410204533295,-20.064877241373885,18582.5,1225.5,21,959,0.8251579,0.1899322,0.9593507,0.40066487,14,2018-07-09,2019-01-29,0.0,8.741605,8.741605,0.38363716
10,,,18524.5,1229.5,25,901,-128.40572,0.05559844,1.057622,0.6899616,25,2018-07-09,2019-01-29,0.0,-73.310875,-73.310875,0.64975303
11,-44.06796131673865,-20.06448359236599,18714.5,1229.5,25,1091,-17.421993,0.12943134,0.99033356,0.4536662,18,2018-07-09,2019-01-29,0.0,-15.113233,-15.113233,0.45311663
12,-44.06448797247352,-20.06566453938968,18579.5,1232.5,28,956,-0.37717438,0.06971844,0.97260416,0.7310553,25,2018-07-09,2019-01-29,0.0,0.36076826,0.36076826,0.68630946
13,-44.06493822080419,-20.06566453938968,18592.5,1232.5,28,969,55.82768,0.1102158,1.0371742,0.4866838,20,2018-07-09,2019-01-29,0.0,22.787937,22.787937,0.48362878
14,,,18550.5,1233.5,29,927,-48.388897,0.057973303,0.9526472,0.691038,23,2018-07-09,2019-01-29,0.0,-41.097187,-41.097187,0.6313785
15,-44.062622657960766,-20.066451837405474,18502.5,1234.5,30,879,-17.60048,0.033931926,0.9240562,0.92697,28,2018-07-09,2019-01-29,0.0,-8.628567,-8.628567,0.85895216
16,-44.062751300340956,-20.066451837405474,18507.5,1234.5,30,884,17.679153,0.11135457,0.9440121,0.6406597,20,2018-07-09,2019-01-29,0.0,11.94791,11.94791,0.6024232
17,-44.0693442223257,-20.06474602503792,18754.5,1234.5,30,1131,52.760857,0.12347128,0.9752902,0.5642419,21,2018-07-09,2019-01-29,0.0,30.195812,30.195812,0.57783234
18,-44.070019594821694,-20.064614808701954,18778.5,1234.5,30,1155,1.701627,0.09860318,0.95367414,0.46759826,17,2018-07-09,2019-01-29,0.0,-3.6270602,-3.6270602,0.48347664
19,-44.062912103316194,-20.066451837405474,18513.5,1235.5,31,890,32.969524,0.0893574,0.9338664,0.4732375,17,2018-07-09,2019-01-29,0.0,20.682022,20.682022,0.47744778
20,-44.063426672836954,-20.066320621069508,18529.5,1235.5,31,906,24.501421,0.059226077,1.1708639,0.9975592,28,2018-07-09,2019-01-29,0.0,27.268568,27.268568,0.95774746
21,-44.06712514126742,-20.065533323053714,18668.5,1235.5,31,1045,58.39757,0.16659607,0.9918052,0.4500119,17,2018-07-09,2019-01-29,0.0,46.52901,46.52901,0.4718724
22,-44.07243163945026,-20.064221159694057,18849.5,1235.5,31,1226,4.0828295,0.1385709,0.9010806,0.514022,21,2018-07-09,2019-01-29,0.0,4.5952663,4.5952663,0.50012976
23,,,18550.5,1236.5,32,927,-7.74414,0.18668285,0.9240963,0.4998233,16,2018-07-09,2019-01-29,0.0,3.337789,3.337789,0.42818564
24,-44.06657841115161,-20.06592697206161,18642.5,1237.5,33,1019,-8.087973,0.10418508,1.1094177,0.54706836,22,2018-07-09,2019-01-29,0.0,12.895636,12.895636,0.5249343
25,-44.07267284391311,-20.064352376030023,18855.5,1237.5,33,1232,98.05657,0.109147616,1.066644,0.6434615,24,2018-07-09,2019-01-29,0.0,46.629105,46.629105,0.625295
