ps_id,d_20180709,d_20180721,d_20180802,d_20180814,d_20180826,d_20180907,d_20180919,d_20181001,d_20181013,d_20181025,d_20181106,d_20181118,d_20181130,d_20181212,d_20181224,d_20190105,d_20190117,d_20190129
1,0.0,0.0,-8.741957,-1.1361775,1.9193649,10.7243805,6.1316075,15.335435,8.204638,14.483229,25.227772,17.598515,13.9273815,2.727831,-1.928078,8.944731,19.905277,6.5412645
2,0.0,0.0,-2.6320179,0.11636623,13.055451,17.989676,22.003368,19.090141,14.316991,25.508766,27.594269,14.340596,3.078412,5.2649665,11.5120325,25.045624,12.5567875,12.5567875
3,0.0,12.368788,3.6610157,6.320936,-7.3547873,-2.0410342,-9.187619,-0.9247361,-1.5587419,-4.898581,8.051578,7.983633,1.5636104,12.722037,24.0994,25.808468,27.535358,18.236732
4,0.0,0.0,0.0,0.0,6.7750235,10.062553,8.789934,1.7505274,1.7505274,1.7505274,1.7505274,1.7505274,-8.871263,-1.1845422,-0.36321735,-7.367358,-13.431672,-3.502552
5,0.0,0.0,-5.032454,-4.154,-4.154,-4.154,-4.154,7.693854,-1.6705632,-10.628228,-8.37685,-11.773484,-20.763054,-9.65579,-17.159332,-9.42582,3.9367993,3.9367993
6,0.0,-5.938965,-9.825447,-11.156796,2.218856,-8.758266,4.648816,6.5326896,18.007183,7.06813,17.253195,8.013452,8.013452,8.013452,16.65963,16.305721,17.542934,17.542934
7,0.0,8.526047,0.22938174,4.8253307,4.8253307,16.099712,9.495324,7.4113994,0.03195384,8.87371,5.044644,-0.0011588229,-0.0011588229,-0.0011588229,-5.7592096,-6.7370563,-6.377455,-15.100827
8,0.0,0.0,-8.855991,-10.688389,-10.688389,-10.688389,-10.688389,-0.7232131,-1.4536115,2.0139143,14.516282,5.906589,1.5064633,-0.3877338,12.871031,9.340425,16.329214,17.112497
9,0.0,-2.1689916,6.9217973,6.9217973,6.9217973,17.935259,3.8404849,7.850543,-4.4113917,-9.067307,-10.806164,-13.463488,-4.606098,2.2805705,-1.8213488,9.663335,16.82456,8.741605
10,0.0,-5.97107,-13.654091,-14.589044,-14.589044,-6.898886,-16.91282,-29.792812,-38.815334,-46.86772,-46.565655,-46.52256,-46.52256,-46.52256,-59.76126,-67.079506,-64.570595,-73.310875
11,0.0,0.0,0.0,0.0,-1.382406,7.359227,7.359227,14.971973,7.107694,7.107694,7.107694,7.107694,10.026135,4.3752522,-1.3797106,-4.6747465,-17.827011,-15.113233
12,0.0,-6.204464,6.6185603,6.6185603,12.13306,18.110752,5.8928337,5.8928337,5.8928337,5.1458807,7.0350995,-1.2323157,11.363204,6.464487,15.677689,5.9932914,-4.7689104,0.36076826
